horizon,period,model,n_test_rows,max_abs_error_y_hat,max_abs_error_full_coalition,pass
1,0,rf_cv,1,0.0,0.0,True
1,0,xgb_cv,1,0.0,0.0,True
1,0,nn_deep,1,0.0,0.0,True
1,0,nn_shallow,1,0.0,1.734723475976807e-18,True
1,0,enet,1,0.0,0.0,True
1,0,pca,1,0.0,8.673617379884035e-19,True
1,208,rf_cv,1,0.0,0.0,True
1,208,xgb_cv,1,0.0,0.0,True
1,208,nn_deep,1,0.0,0.0,True
1,208,nn_shallow,1,0.0,0.0,True
1,208,enet,1,0.0,0.0,True
1,208,pca,1,0.0,4.336808689942018e-19,True
1,415,rf_cv,1,0.0,0.0,True
1,415,xgb_cv,1,0.0,0.0,True
1,415,nn_deep,1,0.0,0.0,True
1,415,nn_shallow,1,0.0,0.0,True
1,415,enet,1,0.0,4.336808689942018e-19,True
1,415,pca,1,0.0,4.336808689942018e-19,True
